ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3509,80,100,275200,360,7.45,AZ,643,OO,ARM
3510,58.46,58.46,228000,360,8.875,AZ,579,OO,ARM
3511,85,85,119000,360,8.65,SC,624,OO,Fix
3512,62.81,62.81,150000,360,7.99,AZ,552,OO,ARM
3513,83.67,83.67,292500,360,8.15,PA,638,OO,Fix
3514,80,100,279200,480,8.1,CA,676,OO,ARM
3515,100,100,234900,480,8.95,IL,653,OO,ARM
3516,90,90,197897,480,7.25,MN,606,OO,ARM
3517,82.84,82.84,172314,360,9.125,FL,671,OO,Fix
3518,90,100,130410,360,9.975,SC,596,OO,Fix
3519,80,100,464000,360,7.75,CA,617,OO,ARM
3520,90,90,549000,480,8.99,NY,612,OO,Fix
3521,85,85,382500,480,7.2,MD,668,OO,ARM
3522,60.24,60.24,512000,360,7.55,FL,632,OO,ARM
3523,85,85,194650,360,8.875,FL,553,OO,ARM
3524,90,90,165600,480,8.5,PA,630,OO,ARM
3525,90,90,405900,480,10.3,NJ,558,OO,ARM
3526,80,97.14,140000,480,7.99,UT,645,OO,ARM
3527,90,90,144000,360,9.45,LA,640,IO,ARM
3528,52.22,52.22,67000,360,6,NM,678,OO,ARM
3529,88.89,88.89,275900,240,8.35,MA,628,OO,Fix
3530,20,100,43000,360,11.8,CA,644,OO,Fix
3531,80,90,68000,360,9.65,MI,594,IO,ARM
3532,90,90,216000,360,9.575,CT,570,OO,ARM
3533,82.89,82.89,407000,360,9.6,CA,626,OO,ARM
3534,83,83,117030,360,9.5,MD,505,OO,ARM
3535,54.24,54.24,140000,360,8.125,WA,619,OO,Fix
3536,90,90,220500,360,9.2,NJ,550,OO,ARM
3537,80,100,240000,360,7.65,NV,650,OO,ARM
3538,95,95,248634,480,8.1,FL,617,OO,ARM
3539,90,100,229500,360,8.95,CT,560,OO,Fix
3540,95,95,92150,360,8.45,OH,643,OO,Fix
3541,80,100,337600,360,6.9,CA,641,OO,ARM
3542,80,100,164000,360,7.75,CA,637,OO,ARM
3543,85,100,72250,360,8.2,OH,515,OO,Fix
3544,81.69,81.69,132500,360,8.5,PA,608,OO,Fix
3545,54.55,54.55,150000,360,6.3,FL,601,OO,ARM
3546,80,100,188000,360,7.99,AZ,648,OO,ARM
3547,90,90,153000,360,9.3,OK,534,OO,Fix
3548,75,75,61500,360,7.2,NJ,611,OO,ARM
3549,84.03,84.03,221000,360,9.75,CA,530,OO,ARM
3550,80,80,410200,360,9.75,CA,532,OO,ARM
3551,80,80,233600,360,10.55,FL,585,IO,ARM
3552,80,100,116000,360,8.45,CA,600,OO,ARM
3553,80,100,376000,480,8.5,MD,640,OO,ARM
3554,80,80,268000,480,7.675,IL,614,OO,ARM
3555,80,100,88000,360,7.75,UT,609,OO,ARM
3556,95,95,78850,360,9.99,OK,594,OO,ARM
3557,80,100,177552,360,9.5,AZ,629,OO,ARM
3558,90,90,211500,360,8.125,AZ,663,IO,ARM
3559,69.85,69.85,252000,360,11.35,FL,538,OO,ARM
3560,89.53,89.53,132500,360,7.25,TX,598,OO,Fix
3561,80,80,56800,360,8.9,TX,520,OO,Fix
3562,80,100,360000,360,8.25,NV,674,OO,ARM
3563,90,90,135000,360,8.25,IL,579,OO,ARM
3564,95,95,296400,480,6.5,HI,710,OO,Fix
3565,89.89,89.89,161800,360,7.75,PA,662,OO,Fix
3566,83.8,83.8,238000,480,9,IL,531,OO,ARM
3567,85,85,182750,480,9.05,CA,526,OO,ARM
3568,52.8,52.8,132000,360,7.85,AZ,533,OO,Fix
3569,90,90,232200,360,9.4,MD,512,OO,ARM
3570,88.22,88.22,322000,480,7.1,MD,639,OO,ARM
3571,80,100,552800,360,7.8,CA,659,OO,ARM
3572,80,100,504000,360,7.1,CA,671,OO,ARM
3573,80,100,121600,360,9,IL,683,OO,ARM
3574,20,100,58200,360,12.3,KS,650,OO,Fix
3575,37.72,37.72,292315,480,7.99,CA,569,OO,ARM
3576,90,90,501300,480,9.25,CA,660,OO,ARM
3577,88.91,88.91,220500,360,7.85,FL,601,OO,ARM
3578,90,90,108000,360,9.95,IN,634,IO,Fix
3579,90,90,83250,360,9.781,OH,564,OO,ARM
3580,80,100,240000,360,7.5,CA,686,OO,ARM
